	Favorite Count	Favorited	ID	Phone Type	Replied	Retweet Count	Retweeted	Screen Name	Tweet Coordinates	Tweet Created At	Tweet Text	User Location	User Name
0	0	False	1171978318368796672	Twitter for iPhone	1171974540043403264	0	False	KingoOsel		2019-09-12 02:46:20	"@jagare_ulrika @KirkDBorne @Strategy_Gal The books &amp; the series are fine.
But I thought it would be hilarious to ha… https://t.co/O3afts3ZmK"		Kingo Osel
1	0	False	1171978274978848770	rstatsretweetingtool		1	False	rstatstweet		2019-09-12 02:46:09	RT @seanrife: Hello science tweeps! I am working on an RRR that is about to begin data collection. If anyone who is comfortable with #rstat…		Rstats
2	0	False	1171978082988646400	Twitter for iPad		1	False	follysantidote		2019-09-12 02:45:23	RT @3AInstitute: We are so excited to share at @ellenbroad will be joining 3A Institute in mid-October! Ellen will be a great addition to o…	Queensland, Australia	Folly's Antidote
3	0	False	1171978001594159105	Wynand 2.0		20	False	wynandbooysen		2019-09-12 02:45:04	RT @gp_pulipaka: Data Science for Good: Recommendation System. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #P…	South Africa	🇿🇦 Wynand Booysen 💻 改善
4	0	False	1171977936150417409	ComaBot		20	False	Comatose_D		2019-09-12 02:44:48	RT @gp_pulipaka: Data Science for Good: Recommendation System. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #P…	Game Grid	comatosed
5	0	False	1171977839601737729	Twitter Web App		46	False	AdryEm1		2019-09-12 02:44:25	"RT @Freedom4Horses: BLM was heavily criticized by National Academy of Sciences for not using ""scientifically rigorous"" methods to gather da…"	Manhattan, NY	Adryem
6	0	False	1171977801416753153	Twitter for iPhone		24	False	PabloRiVi		2019-09-12 02:44:16	"RT @ylecun: NYU has launched an undergraduate major in Data Science.

The degree is delivered by the School of Arts and Sciences and hosted…"	Nueva York, USA	Pablo Ripollés
7	0	False	1171977763248582656	Twitter Web App		20	False	jjmareca		2019-09-12 02:44:07	RT @gp_pulipaka: Data Science for Good: Recommendation System. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #P…	Geneva, CH 🇨🇭 and 🌍	Xavier Mareca
8	0	False	1171977711952236546	Twitter for iPhone		24	False	M_Knows_1_Thing		2019-09-12 02:43:55	RT @NAN_DINI_: @prasanto @Furkan_Khan @NPR Perhaps you need a white person to spell O-R-G-A-N-I-C for you to understand &amp; some scientific d…	USA	Sun_rays_will_expose_hypocrites
9	0	False	1171977686064873472	Twitter Web App		0	False	BERNAMAmremPR		2019-09-12 02:43:49	Lucidworks Fusion 5.0 Features Data Science Toolkit Integration and Microservices Architecture Orchestrated by Kube… https://t.co/IHouHuHgks	Kuala Lumpur	BERNAMA MREM PR
10	0	False	1171977569446563841	Twitter for iPhone		4	False	Brucepike11		2019-09-12 02:43:21	RT @Oracle: Check out our latest #AI #Influencer blog post! Jan Teichmann of @Zoopla covers delivery management for successful #datascience…	Lakeway, TX	bruce pike
11	0	False	1171977492682424320	Twitter Web App		18	False	jjmareca		2019-09-12 02:43:03	RT @gp_pulipaka: Python Notebook using Data from Data Science for Good. #BigData #Analytics #DataScience #AI #MachineLearning #NLProc #IoT…	Geneva, CH 🇨🇭 and 🌍	Xavier Mareca
